State,City,Date,year,dayofweek,month,NO2,O3,SO2,C0
California,Fresno,2003-08-06,2003,4,8,9.608696,0.039333,1.085093,0.4944445
California,Fresno,2003-02-06,2003,5,2,25.8913045,0.0068125,1.5211955000000001,1.245942
California,Fresno,2003-03-01,2003,7,3,19.456522,0.014333499999999999,1.0434785,1.025
California,Fresno,2003-06-09,2003,2,6,10.521739,0.0445415,0.6916665,0.2142855
California,Fresno,2003-07-18,2003,6,7,23.9130435,0.0459795,2.1186335,0.7173915000000001
California,Fresno,2003-02-14,2003,6,2,11.8567195,0.016396,1.0714285000000001,0.304348
California,Fresno,2003-01-03,2003,6,1,18.5652175,0.0041875,1.4782609999999998,1.021739
California,Fresno,2003-08-03,2003,1,8,11.347826,0.039021,1.3655279999999999,0.5
California,Fresno,2003-06-15,2003,1,6,9.717391,0.051229,1.98125,0.4375
California,Fresno,2003-08-10,2003,1,8,11.239130500000002,0.046729,1.5857145,0.5
California,Fresno,2003-05-05,2003,2,5,9.5,0.033354499999999995,0.554969,0.0
California,Fresno,2003-03-06,2003,5,3,23.304348,0.016417,0.814286,1.478261
California,Fresno,2003-04-14,2003,2,4,7.804347999999999,0.03925,0.5059005000000001,0.0884055
California,Fresno,2003-04-23,2003,4,4,11.652173999999999,0.037958,0.626708,0.180435
California,Fresno,2003-02-04,2003,3,2,21.8924485,0.0071185,2.246032,1.5601715
California,Fresno,2003-01-15,2003,4,1,18.217391,0.009125000000000001,1.3940994999999998,0.6956519999999999
California,Fresno,2003-04-11,2003,6,4,10.673912999999999,0.0296045,0.7074535,0.06965550000000001
California,Fresno,2003-03-27,2003,5,3,13.320158,0.0243335,0.416234,0.2729165
California,Fresno,2003-07-03,2003,5,7,14.978261,0.0426875,2.4285715,0.1
California,Fresno,2003-04-29,2003,3,4,7.8043474999999995,0.035625000000000004,1.410079,0.021739
California,Fresno,2003-05-31,2003,7,5,10.326087000000001,0.048020499999999994,2.5714284999999997,0.3
California,Fresno,2003-02-02,2003,1,2,14.521739,0.00975,1.0618015,0.5869565
California,Fresno,2003-03-02,2003,1,3,19.282608500000002,0.017583,1.26087,1.195652
California,Fresno,2003-04-26,2003,7,4,4.5217395,0.0413335,1.052174,0.0
California,Fresno,2003-02-11,2003,3,2,20.0869565,0.015354,0.8913039999999999,0.723098
California,Fresno,2003-02-15,2003,7,2,17.391304499999997,0.017146,1.4347824999999998,0.891667
California,Fresno,2003-07-04,2003,6,7,11.5869565,0.0495415,3.114286,0.37
California,Fresno,2003-03-11,2003,3,3,19.913043,0.013333,0.228571,1.2125
California,Fresno,2003-01-27,2003,2,1,13.1304345,0.0080205,0.8975155,0.6086955000000001
California,Fresno,2003-06-19,2003,5,6,6.978261,0.0335,2.1142855000000003,0.5
